sample.id	reads.raw	reads.trim	reads.hg38	reads.t2t	reads.rRNA	reads.virgo
SRR6744826_1	37669779	36210676	6487453	6481269	6471823	4116555
SRR6744829_1	44392360	42949286	34730168	34728020	34722040	20481694
SRR6744832_1	52073141	50657613	27446599	27418031	27407972	19489637
SRR6744833_1	55623719	54071173	49920093	49917530	49912786	36923033
SRR6744842_1	36657423	35000464	26490379	26483187	26478311	20214930
SRR6744858_1	24694718	24218941	18769995	18768003	18765347	13164741
SRR6744859_1	13359157	12692406	10239881	10237109	10233088	7884542
SRR6744860_1	38071086	36966816	33929688	33920567	33915171	27014141
SRR6744862_1	26225670	25408025	11059396	11008197	11000384	7943756
SRR6744866_1	27563157	26758346	22900886	22896116	22890149	16827231
SRR6744875_1	31370778	30549002	25769920	25767132	25761111	15174718
SRR6744877_1	33865982	31941763	4007486	4004474	4000840	481064
SRR6744878_1	45780573	44051884	26381100	26371780	26364651	12810238
SRR6744883_1	150852597	148001225	143489119	143466876	143445291	82683483
SRR6744884_1	84787243	82737720	46250927	46147093	46130011	36308398
SRR6744894_1	73862551	71526428	71107561	71104420	71070664	28311676
SRR6744896_1	112375557	109469237	28039672	26715261	26709044	21079199
SRR6744897_1	19077241	17652421	5609593	5550358	5546589	3911438
SRR6744898_1	728640	705405	577921	577011	576641	426505
SRR6744901_1	43875973	42345410	34538691	34532820	34525421	26592327
SRR6744902_1	59015049	57538223	57151402	57148812	57137038	37190419
SRR6744914_1	44902957	43043270	11154806	11126931	11085649	7613823
SRR6744916_1	24616195	23765542	11534570	11514397	11508309	8622181
SRR6744917_1	38447584	37191066	37025575	37023797	37012297	11387582
SRR6744918_1	50454339	48806103	16644163	16625963	16607314	10986411
SRR6744925_1	98349946	95906796	40023245	39998975	39966361	25831390
SRR6744926_1	49143325	47459468	29974664	29779095	29770966	23455913
SRR6744928_1	44407721	43239716	40005782	40004361	39998835	30491955
SRR6744930_1	47332348	45942084	17160093	17085443	17079319	10091312
SRR6744931_1	69160676	66708806	50306469	50283532	50273800	38872675
SRR6744940_1	64540700	63440198	60293012	60287283	60278653	28933337
SRR6744941_1	52294004	49691899	19358534	19343476	19334859	13345361
SRR6744945_1	81182546	78094685	43692561	43673963	43648966	26199892
SRR6744955_1	2007077	1908712	457590	457093	456419	313563
SRR6744962_1	63473431	61696427	15832758	15826691	15820642	3419502
SRR6744971_1	72695438	70965865	41370881	41338448	41329663	30921283
SRR6744972_1	72274472	71156852	66819215	66808663	66800453	49904336
SRR6744973_1	27530421	26863533	24180944	24179672	24176238	18177957
SRR6744976_1	65855272	64076768	38090145	38079296	38075271	26667566
SRR6744977_1	42773276	40397989	30223621	30215537	30195724	20697618
SRR6744980_1	47862755	47201895	45858620	45855865	45848987	32456014
SRR6744981_1	56701172	54520302	28323737	28306051	28295533	20873630
SRR6744985_1	68323164	65948029	47711435	47608064	47589986	34846309
SRR6744991_1	65858703	63693800	52124920	52118049	52106544	37678602
SRR6744992_1	13926049	12458200	2978054	2963694	2961570	1988800
SRR6744998_1	52359529	51029713	33232304	33219521	33211103	23386507
SRR6744999_1	62877559	60585200	57997654	57990194	57971382	42459006
SRR6745001_1	51468664	50553488	31991120	31961100	31958206	11894569
SRR6745004_1	48188922	47541506	44985582	44981735	44975755	33767537
